NUTS3;CODE
'BG415';'2647'
'BG322';'5380'
'BG421';'4221'
'BG334';'7868'
'BG342';'8881'
'BG331';'9290'
'BG411';'1696'
'BG413';'2843'
'BG334';'7780'
'BG421';'4234'
'BG314';'5973'
'BG425';'6634'
'BG422';'6526'
'BG412';'2066'
'BG323';'7072'
'BG341';'8120'
'BG322';'5377'
'BG323';'7171'
'BG315';'5627'
'BG333';'9927'
'BG414';'2424'
'BG422';'6488'
'BG425';'6865'
'BG343';'8675'
'BG331';'9284'
'BG321';'5290'
'BG341';'8457'
'BG412';'2193'
'BG331';'9170'
'BG334';'7919'
'BG311';'3736'
'BG313';'3258'
'BG423';'4535'
'BG414';'2457'
'BG415';'2549'
'BG343';'8757'
'BG314';'5881'
'BG411';'1775'
'BG313';'3127'
'BG315';'5670'
'BG415';'2566'
'BG332';'9693'
'BG425';'6950'
'BG423';'4483'
'BG315';'5724'
'BG324';'7338'
'BG421';'4265'
'BG332';'9490'
'BG332';'9362'
'BG332';'9488'
'BG425';'6867'
'BG425';'6704'
'BG422';'6472'
'BG325';'7568'
'BG312';'3661'
'BG333';'9867'
'BG311';'3790'
'BG314';'5992'
'BG324';'7291'
'BG425';'6663'
'BG324';'7253'
'BG425';'6767'
'BG415';'2626'
'BG412';'2089'
'BG414';'2420'
'BG325';'7565'
'BG313';'3052'
'BG315';'5615'
'BG411';'1788'
'BG312';'3462'
'BG412';'2270'
'BG424';'4992'
'BG414';'2480'
'BG425';'6943'
'BG413';'2849'
'BG424';'4775'
'BG424';'4759'
'BG423';'4638'
'BG343';'8737'
'BG414';'2472'
'BG312';'3464'
'BG321';'5059'
'BG331';'9243'
'BG334';'7740'
'BG341';'8480'
'BG344';'6141'
'BG413';'2933'
'BG414';'2377'
'BG325';'7639'
'BG311';'3951'
'BG325';'7582'
'BG321';'5295'
'BG422';'6344'
'BG425';'6707'
'BG421';'4107'
'BG421';'4159'
'BG312';'3637'
'BG334';'7992'
'BG333';'9817'
'BG413';'2733'
'BG343';'8630'
'BG343';'8650'
'BG413';'2919'
'BG413';'2969'
'BG413';'2892'
'BG315';'5625'
'BG315';'5631'
'BG315';'5643'
'BG415';'2662'
'BG314';'5921'
'BG322';'5360'
'BG322';'5422'
