NUTS3;CODE
'CH070';'6815'
'CH021';'2713'
'CH025';'2718'
'CH070';'6802'
'CH021';'2716'
'CH070';'6803'
'CH021';'2717'
'CH070';'6806'
'CH070';'6807'
'CH070';'6804'
'CH021';'2710'
'CH070';'6805'
'CH032';'2814'
'CH025';'2812'
'CH025';'2813'
'CH025';'2802'
'CH025';'2803'
'CH025';'2800'
'CH070';'6900'
'CH025';'2806'
'CH025';'2807'
'CH025';'2805'
'CH070';'6883'
'CH070';'6874'
'CH070';'6875'
'CH070';'6872'
'CH070';'6873'
'CH070';'6877'
'CH070';'6866'
'CH070';'6867'
'CH070';'6864'
'CH070';'6865'
'CH021';'2762'
'CH070';'6862'
'CH070';'6863'
'CH070';'6850'
'CH070';'6854'
'CH070';'6855'
'CH070';'6852'
'CH070';'6853'
'CH025';'2362'
'CH062';'6462'
'CH025';'2363'
'CH062';'6463'
'CH025';'2360'
'CH062';'6460'
'CH062';'6461'
'CH025';'2364'
'CH025';'2354'
'CH062';'6454'
'CH062';'6452'
'CH025';'2353'
'CH063';'6442'
'CH063';'6443'
'CH063';'6440'
'CH062';'6441'
'CH025';'2345'
'CH025';'2350'
'CH063';'6434'
'CH063';'6432'
'CH063';'6433'
'CH025';'2338'
'CH063';'6438'
'CH025';'2336'
'CH063';'6436'
'CH025';'2340'
'CH063';'6424'
'CH063';'6430'
'CH063';'6418'
'CH063';'6416'
'CH021';'2333'
'CH063';'6417'
'CH024';'2322'
'CH063';'6422'
'CH063';'6423'
'CH063';'6410'
'CH024';'2325'
'CH024';'2314'
'CH063';'6414'
'CH063';'6415'
'CH024';'2318'
'CH063';'6402'
'CH063';'6403'
'CH024';'2316'
'CH061';'6404'
'CH063';'6405'
'CH070';'6523'
'CH070';'6526'
'CH070';'6527'
'CH070';'6524'
'CH070';'6525'
'CH070';'6514'
'CH070';'6515'
'CH070';'6512'
'CH070';'6513'
'CH070';'6518'
'CH024';'2416'
'CH070';'6516'
'CH023';'4623'
'CH055';'8726'
'CH055';'8727'
'CH055';'8725'
'CH040';'8714'
'CH055';'8715'
'CH040';'8712'
'CH023';'4614'
'CH040';'8713'
'CH023';'4615'
'CH055';'8718'
'CH023';'4612'
'CH023';'4613'
'CH055';'8716'
'CH055';'8717'
'CH040';'8706'
'CH040';'8707'
'CH040';'8704'
'CH040';'8708'
'CH040';'8824'
'CH040';'8825'
'CH023';'4714'
'CH023';'4715'
'CH023';'4712'
'CH023';'4713'
'CH040';'8816'
'CH023';'4718'
'CH023';'4719'
'CH023';'4716'
'CH023';'4717'
'CH040';'8820'
'CH040';'8810'
'CH021';'4704'
'CH063';'8808'
'CH023';'4710'
'CH040';'8815'
'CH040';'8802'
'CH033';'8803'
'CH040';'8800'
'CH023';'4702'
'CH023';'4703'
'CH063';'8806'
'CH063';'8807'
'CH040';'8804'
'CH040';'8805'
'CH051';'8784'
'CH051';'8777'
'CH051';'8782'
'CH051';'8783'
'CH051';'8774'
'CH051';'8775'
'CH051';'8772'
'CH051';'8773'
'CH055';'8890'
'CH055';'8888'
'CH055';'8889'
'CH055';'8894'
'CH055';'8895'
'CH055';'8892'
'CH055';'8893'
'CH055';'8882'
'CH055';'8883'
'CH055';'8880'
'CH055';'8881'
'CH055';'8886'
'CH055';'8887'
'CH055';'8884'
'CH055';'8885'
'CH051';'8874'
'CH055';'8872'
'CH055';'8873'
'CH055';'8878'
'CH055';'8877'
'CH055';'8866'
'CH051';'8867'
'CH063';'8864'
'CH051';'8865'
'CH051';'8868'
'CH063';'8858'
'CH063';'8856'
'CH063';'8857'
'CH063';'8862'
'CH063';'8863'
'CH063';'8849'
'CH063';'8854'
'CH063';'8855'
'CH063';'8852'
'CH063';'8853'
'CH063';'8842'
'CH063';'8843'
'CH063';'8840'
'CH063';'8841'
'CH063';'8846'
'CH063';'8847'
'CH063';'8844'
'CH063';'8845'
'CH063';'8834'
'CH063';'8835'
'CH040';'8401'
'CH040';'8403'
'CH040';'8010'
'CH040';'8011'
'CH040';'8012'
'CH040';'8901'
'CH040';'8000'
'CH040';'8017'
'CH040';'8018'
'CH040';'8021'
'CH040';'8022'
'CH040';'8024'
'CH040';'8027'
'CH040';'8031'
'CH040';'8034'
'CH040';'8036'
'CH040';'8040'
'CH040';'8042'
'CH040';'8063'
'CH040';'8070'
'CH040';'8071'
'CH040';'8074'
'CH040';'8075'
'CH040';'8080'
'CH040';'8081'
'CH040';'8085'
'CH040';'8086'
'CH040';'8087'
'CH040';'8088'
'CH040';'8090'
'CH040';'8091'
'CH040';'8092'
'CH040';'8093'
'CH040';'8096'
'CH040';'8098'
'CH040';'8099'
'CH070';'6996'
'CH011';'1017'
'CH066';'6310'
'CH055';'9022'
'CH066';'6349'
'CH023';'4551'
'CH056';'6547'
'CH070';'6517'
'CH024';'2414'
'CH070';'6503'
'CH024';'2400'
'CH070';'6500'
'CH024';'2406'
'CH062';'6490'
'CH062';'6491'
'CH024';'2405'
'CH062';'6493'
'CH062';'6482'
'CH062';'6487'
'CH062';'6484'
'CH062';'6485'
'CH062';'6474'
'CH062';'6475'
'CH062';'6472'
'CH062';'6473'
'CH062';'6476'
'CH062';'6466'
'CH062';'6467'
'CH062';'6464'
'CH062';'6465'
'CH062';'6468'
'CH062';'6469'
'CH070';'6584'
'CH070';'6578'
'CH070';'6579'
'CH070';'6576'
'CH070';'6577'
'CH070';'6582'
'CH070';'6583'
'CH070';'6571'
'CH070';'6574'
'CH070';'6575'
'CH070';'6572'
'CH070';'6573'
'CH056';'6562'
'CH056';'6563'
'CH056';'6565'
'CH056';'6558'
'CH056';'6556'
'CH056';'6557'
'CH056';'6546'
'CH056';'6544'
'CH056';'6545'
'CH056';'6548'
'CH056';'6549'
'CH056';'6538'
'CH056';'6537'
'CH056';'6542'
'CH056';'6543'
'CH056';'6540'
'CH056';'6541'
'CH070';'6528'
'CH056';'6534'
'CH056';'6535'
'CH070';'6532'
'CH070';'6533'
'CH070';'6648'
