NUTS3;CODE
'FI1B1';'00671'
'FI1B1';'00701'
'FI1B1';'00711'
'FI1B1';'00721'
'FI1B1';'00741'
'FI1B1';'00751'
'FI1B1';'00761'
'FI1B1';'00771'
'FI1B1';'00781'
'FI1B1';'00791'
'FI1B1';'00811'
'FI1B1';'00861'
'FI1B1';'00921'
'FI1B1';'00931'
'FI1B1';'00941'
'FI1B1';'00971'
'FI1B1';'00981'
'FI1B1';'01151'
'FI1B1';'01201'
'FI1B1';'01261'
'FI1B1';'01301'
'FI1B1';'01351'
'FI1B1';'01361'
'FI1B1';'01391'
'FI1B1';'01451'
'FI1B1';'01511'
'FI1B1';'01531'
'FI1B1';'01601'
'FI1B1';'01611'
'FI1B1';'01621'
'FI1B1';'01641'
'FI1B1';'01651'
'FI1B1';'01661'
'FI1B1';'01671'
'FI1B1';'01711'
'FI1B1';'01721'
'FI1B1';'01741'
'FI1B1';'01801'
'FI1B1';'01901'
'FI1B1';'02101'
'FI1B1';'02131'
'FI1B1';'02151'
'FI1B1';'02171'
'FI1B1';'02201'
'FI1B1';'02211'
'FI1B1';'02231'
'FI1B1';'02241'
'FI1B1';'02271'
'FI1B1';'02321'
'FI1B1';'02361'
'FI1B1';'02401'
'FI1B1';'02421'
'FI1B1';'02431'
'FI1B1';'02471'
'FI1B1';'02601'
'FI1B1';'02611'
'FI1B1';'02621'
'FI1B1';'02631'
'FI1B1';'02661'
'FI1B1';'02701'
'FI1B1';'02711'
'FI1B1';'02761'
'FI1B1';'02771'
'FI1B1';'02781'
'FI1B1';'02921'
'FI1B1';'02941'
'FI1B1';'03101'
'FI1B1';'03601'
'FI1B1';'04131'
'FI1B1';'04201'
'FI1B1';'04251'
'FI1B1';'04261'
'FI1B1';'04301'
'FI1B1';'04321'
'FI1B1';'04401'
'FI1B1';'04431'
'FI1B1';'04501'
'FI1B1';'04601'
'FI1B1';'05201'
'FI1B1';'05401'
'FI1B1';'05801'
'FI1B1';'05831'
'FI1B1';'05901'
'FI1B1';'08101'
'FI1B1';'08151'
'FI1B1';'08201'
'FI1B1';'08501'
'FI1B1';'08701'
'FI1B1';'10211'
'FI1B1';'10301'
'FI1B1';'10421'
'FI1B1';'10601'
'FI1B1';'10611'
'FI1B1';'10641'
'FI1B1';'06101'
'FI1B1';'06151'
'FI1B1';'06401'
'FI1B1';'07231'
'FI1B1';'07601'
'FI1B1';'07901'
'FI1C1';'21601'
'FI1C1';'25701'
'FI1C1';'24101'
'FI198';'44201'
'FI1D9';'93850'
'FI1D9';'93920'
'FI1D9';'93940'
'FI1D9';'93990'
'FI1C1';'24801'
'FI1C1';'25501'
'FI1C1';'31401'
'FI1C1';'20101'
'FI1C1';'20201'
'FI1C1';'20241'
'FI1C1';'20251'
'FI1C1';'20321'
'FI1C1';'20361'
'FI1C1';'20381'
'FI1C1';'20501'
'FI1C1';'20521'
'FI1C1';'20541'
'FI1C1';'20611'
'FI1C1';'20701'
'FI1C1';'20741'
'FI1C1';'20751'
'FI1C1';'20761'
'FI1C1';'20781'
'FI1C1';'20801'
'FI1C1';'20811'
'FI1C1';'21101'
'FI1C1';'21201'
'FI1C1';'21251'
'FI1C1';'21291'
'FI1C1';'21421'
'FI1C1';'21501'
