NUTS3;CODE
'IS002';'735'
'IS002';'740'
'IS002';'715'
'IS002';'371'
'IS002';'900'
'IS001';'105'
'IS001';'210'
'IS001';'109'
'IS002';'233'
'IS001';'103'
'IS001';'112'
'IS001';'104'
'IS002';'250'
'IS001';'113'
'IS001';'221'
'IS001';'116'
'IS001';'225'
'IS001';'201'
'IS001';'101'
'IS002';'190'
'IS002';'230'
'IS001';'107'
'IS001';'200'
'IS002';'240'
'IS001';'110'
'IS002';'245'
'IS001';'170'
'IS002';'235'
'IS001';'111'
'IS001';'108'
'IS001';'203'
'IS002';'241'
'IS002';'191'
'IS001';'102'
'IS001';'161'
'IS001';'206'
'IS001';'162'
'IS002';'246'
'IS002';'251'
'IS002';'620'
'IS002';'530'
'IS002';'360'
'IS001';'276'
'IS002';'545'
'IS002';'601'
'IS002';'300'
'IS002';'675'
'IS002';'425'
'IS002';'370'
'IS002';'685'
'IS002';'871'
'IS002';'801'
'IS002';'825'
'IS002';'301'
'IS002';'755'
'IS002';'860'
'IS002';'850'
'IS002';'540'
'IS002';'415'
'IS002';'780'
'IS002';'800'
'IS002';'471'
'IS002';'760'
'IS002';'531'
'IS002';'320'
'IS002';'630'
'IS002';'870'
'IS002';'750'
'IS002';'541'
'IS002';'660'
'IS002';'520'
'IS002';'880'
'IS002';'340'
'IS002';'260'
'IS002';'310'
'IS002';'451'
'IS002';'765'
'IS002';'851'
'IS001';'270'
'IS002';'640'
'IS002';'810'
'IS002';'645'
'IS002';'380'
'IS002';'603'
'IS002';'611'
'IS002';'730'
'IS002';'465'
'IS002';'460'
'IS002';'671'
'IS002';'625'
'IS002';'565'
'IS002';'861'
'IS002';'356'
'IS002';'781'
'IS002';'701'
'IS002';'355'
'IS002';'690'
'IS002';'350'
'IS002';'845'
'IS002';'430'
'IS002';'610'
'IS002';'470'
'IS002';'700'
'IS002';'551'
'IS002';'524'
'IS002';'566'
'IS002';'820'
'IS002';'681'
'IS002';'600'
'IS002';'680'
'IS002';'512'
'IS002';'840'
'IS002';'420'
'IS002';'785'
'IS002';'621'
'IS002';'450'
'IS001';'271'
'IS002';'311'
'IS002';'650'
'IS002';'401'
'IS002';'500'
'IS002';'641'
'IS002';'410'
'IS002';'345'
'IS002';'710'
'IS002';'670'
'IS002';'560'
'IS002';'510'
'IS002';'550'
'IS002';'570'
'IS002';'580'
'IS002';'720'
'IS002';'815'
'IS002';'761'
'IS002';'511'
'IS002';'341'
'IS002';'736'
'IS002';'381'
'IS002';'816'
'IS002';'426'
'IS002';'561'
'IS002';'741'
'IS002';'431'
'IS002';'805'
'IS002';'806'
'IS002';'626'
'IS002';'881'
'IS002';'766'
'IS002';'721'
'IS002';'751'
'IS002';'691'
'IS002';'604'
'IS002';'416'
'IS002';'461'
'IS002';'711'
'IS002';'421'
'IS002';'466'
'IS002';'731'
'IS002';'803'
'IS002';'616'
'IS002';'756'
'IS002';'804'
'IS002';'686'
'IS002';'581'
'IS002';'606'
'IS002';'607'
'IS002';'676'
'IS002';'342'
'IS002';'605'
'IS002';'546'
'IS002';'846'
'IS002';'262'
'IS001';'128'
'IS001';'127'
'IS001';'150'
'IS001';'155'
'IS002';'902'
'IS001';'129'
'IS001';'212'
'IS001';'172'
'IS002';'802'
'IS002';'302'
'IS001';'222'
'IS001';'132'
'IS001';'121'
'IS001';'123'
'IS002';'602'
'IS001';'124'
'IS001';'130'
'IS002';'232'
'IS001';'125'
'IS001';'202'
'IS002';'400'
'IS002';'351'
'IS001';'220'
