NUTS3;CODE
'LV009';'LV-5135'
'LV00C';'LV-4133'
'LV00C';'LV-4833'
'LV00B';'LV-3319'
'LV005';'LV-4636'
'LV009';'LV-3925'
'LV00B';'LV-3623'
'LV009';'LV-5110'
'LV00C';'LV-4342'
'LV00C';'LV-4131'
'LV00B';'LV-3123'
'LV00A';'LV-2118'
'LV005';'LV-5680'
'LV00B';'LV-3626'
'LV00C';'LV-5064'
'LV00C';'LV-4227'
'LV009';'LV-3037'
'LV00C';'LV-4043'
'LV005';'LV-4566'
'LV00C';'LV-4035'
'LV00C';'LV-5060'
'LV00A';'LV-1035'
'LV00A';'LV-1001'
'LV009';'LV-3002'
'LV009';'LV-3729'
'LV00A';'LV-1050'
'LV009';'LV-3921'
'LV00C';'LV-4350'
'LV005';'LV-5326'
'LV00B';'LV-3262'
'LV00C';'LV-4020'
'LV00A';'LV-2016'
'LV00C';'LV-4415'
'LV00B';'LV-3436'
'LV009';'LV-3016'
'LV00A';'LV-1023'
'LV009';'LV-3906'
'LV005';'LV-5331'
'LV005';'LV-4622'
'LV009';'LV-3021'
'LV00B';'LV-3446'
'LV00C';'LV-4729'
'LV009';'LV-5202'
'LV009';'LV-5204'
'LV00C';'LV-4701'
'LV005';'LV-5676'
'LV00B';'LV-3270'
'LV005';'LV-4561'
'LV009';'LV-5210'
'LV009';'LV-5226'
'LV00C';'LV-4728'
'LV00A';'LV-2167'
'LV009';'LV-5129'
'LV00B';'LV-3139'
'LV005';'LV-5748'
'LV005';'LV-4630'
'LV009';'LV-3042'
'LV00C';'LV-4835'
'LV005';'LV-5305'
'LV00A';'LV-2150'
'LV00A';'LV-1019'
'LV009';'LV-3905'
'LV005';'LV-4601'
'LV00B';'LV-3313'
'LV00B';'LV-3328'
'LV009';'LV-3018'
'LV00B';'LV-3891'
'LV005';'LV-4652'
'LV00A';'LV-1007'
'LV00A';'LV-1026'
'LV00B';'LV-3466'
'LV00B';'LV-3624'
'LV00C';'LV-4219'
'LV009';'LV-3023'
'LV00C';'LV-4050'
'LV00C';'LV-4144'
'LV009';'LV-5236'
'LV00B';'LV-3118'
'LV009';'LV-5124'
'LV00C';'LV-4333'
'LV009';'LV-3036'
'LV005';'LV-4590'
'LV00C';'LV-4241'
'LV00B';'LV-3325'
'LV00A';'LV-1030'
'LV005';'LV-5447'
'LV005';'LV-4592'
'LV005';'LV-5418'
'LV00A';'LV-1039'
'LV00C';'LV-4401'
'LV005';'LV-5695'
'LV00C';'LV-2162'
'LV005';'LV-4612'
'LV00C';'LV-2142'
'LV005';'LV-4583'
'LV00B';'LV-3323'
'LV005';'LV-5413'
'LV005';'LV-4625'
'LV005';'LV-4640'
'LV00B';'LV-3861'
'LV00B';'LV-3882'
'LV00B';'LV-3201'
'LV00C';'LV-4210'
'LV00A';'LV-2011'
'LV00B';'LV-3487'
'LV005';'LV-5717'
'LV00C';'LV-4125'
'LV00B';'LV-3620'
'LV00C';'LV-4110'
'LV00C';'LV-4708'
'LV00C';'LV-5052'
'LV00C';'LV-5070'
'LV00C';'LV-4836'
'LV00B';'LV-3312'
'LV00B';'LV-3260'
'LV00C';'LV-4420'
'LV00A';'LV-1048'
'LV005';'LV-4645'
'LV005';'LV-5414'
'LV005';'LV-5470'
'LV005';'LV-5601'
'LV009';'LV-3915'
'LV00B';'LV-3147'
'LV005';'LV-5415'
'LV00C';'LV-4118'
'LV00C';'LV-4242'
'LV00C';'LV-4025'
'LV00C';'LV-2161'
'LV00C';'LV-4870'
'LV00A';'LV-1021'
'LV00A';'LV-2101'
'LV005';'LV-5316'
'LV00C';'LV-4884'
'LV005';'LV-4616'
'LV00B';'LV-3893'
'LV00A';'LV-1002'
'LV005';'LV-4634'
'LV005';'LV-5471'
'LV00B';'LV-3602'
'LV005';'LV-5469'
'LV005';'LV-4649'
'LV00A';'LV-2154'
'LV00A';'LV-1055'
'LV005';'LV-5329'
'LV005';'LV-5325'
'LV005';'LV-4611'
'LV009';'LV-3910'
'LV00C';'LV-4844'
'LV00A';'LV-1009'
'LV00A';'LV-1079'
'LV00B';'LV-3485'
'LV005';'LV-5733'
'LV00B';'LV-3137'
'LV009';'LV-3026'
'LV00C';'LV-4354'
'LV00B';'LV-3896'
'LV005';'LV-4573'
'LV00B';'LV-3627'
'LV005';'LV-5735'
'LV005';'LV-4621'
'LV009';'LV-5112'
'LV00C';'LV-4727'
'LV009';'LV-5109'
'LV00B';'LV-3883'
'LV009';'LV-3003'
'LV00C';'LV-4846'
'LV00C';'LV-4023'
'LV00B';'LV-3314'
'LV005';'LV-5736'
'LV00C';'LV-4247'
'LV00B';'LV-3480'
'LV005';'LV-4571'
'LV009';'LV-3711'
'LV00C';'LV-4248'
'LV009';'LV-5130'
'LV00C';'LV-4113'
'LV00B';'LV-3444'
'LV00C';'LV-4825'
'LV009';'LV-3933'
'LV00C';'LV-4232'
'LV00A';'LV-1014'
'LV00C';'LV-4801'
'LV00C';'LV-4213'
'LV00B';'LV-3321'
'LV00B';'LV-3474'
'LV005';'LV-5410'
'LV009';'LV-5211'
'LV00C';'LV-4102'
'LV00B';'LV-3452'
'LV005';'LV-4643'
'LV00B';'LV-3332'
'LV00C';'LV-4826'
'LV00C';'LV-4101'
'LV00C';'LV-4841'
'LV005';'LV-5328'
'LV005';'LV-5463'
'LV00A';'LV-1011'
'LV00C';'LV-4141'
'LV00B';'LV-3301'
'LV00B';'LV-3148'
'LV00A';'LV-4012'
'LV00C';'LV-4409'
'LV00A';'LV-2121'
'LV00A';'LV-2170'
'LV00C';'LV-4730'
'LV00B';'LV-3401'
'LV00C';'LV-4151'
'LV00A';'LV-2135'
'LV005';'LV-5706'
'LV009';'LV-3924'
'LV009';'LV-3719'
'LV00A';'LV-1067'
'LV00B';'LV-3134'
'LV009';'LV-5133'
'LV00A';'LV-4010'
'LV00A';'LV-2010'
'LV00C';'LV-4061'
'LV00B';'LV-3455'
'LV00C';'LV-4033'
'LV00C';'LV-4860'
'LV005';'LV-5674'
'LV00B';'LV-3110'
'LV00C';'LV-5022'
'LV00C';'LV-4852'
'LV00C';'LV-4853'
'LV00C';'LV-4723'
'LV00C';'LV-4428'
'LV00A';'LV-2169'
'LV005';'LV-5701'
'LV005';'LV-5311'
'LV00B';'LV-3146'
'LV005';'LV-5742'
'LV00B';'LV-3801'
'LV00A';'LV-1057'
'LV00B';'LV-3258'
