NUTS3;CODE
'MK005';'7211'
'MK005';'7212'
'MK005';'7213'
'MK005';'7214'
'MK005';'7215'
'MK005';'7216'
'MK005';'7221'
'MK005';'7223'
'MK005';'7224'
'MK005';'7225'
'MK005';'7240'
'MK005';'7241'
'MK005';'7242'
'MK005';'7244'
'MK005';'7245'
'MK005';'7310'
'MK005';'7313'
'MK005';'7314'
'MK005';'7315'
'MK005';'7316'
'MK005';'7317'
'MK005';'7318'
'MK005';'7319'
'MK005';'7320'
'MK005';'7500'
'MK005';'7504'
'MK005';'7505'
'MK005';'7506'
'MK005';'7507'
'MK005';'7508'
'MK005';'7509'
'MK005';'7512'
'MK005';'7514'
'MK005';'7524'
'MK005';'7525'
'MK005';'7537'
'MK005';'7550'
'MK008';'1000'
'MK008';'1010'
'MK008';'1011'
'MK008';'1020'
'MK008';'1040'
'MK008';'1041'
'MK008';'1042'
'MK008';'1043'
'MK008';'1044'
'MK008';'1045'
'MK008';'1047'
'MK008';'1050'
'MK008';'1053'
'MK005';'1054'
'MK008';'1060'
'MK008';'1062'
'MK008';'1063'
'MK006';'1200'
'MK006';'1201'
'MK006';'1203'
'MK006';'1206'
'MK006';'1211'
'MK006';'1212'
'MK006';'1213'
'MK006';'1214'
'MK006';'1215'
'MK006';'1216'
'MK006';'1218'
'MK006';'1219'
'MK006';'1220'
'MK006';'1221'
'MK006';'1224'
'MK006';'1225'
'MK006';'1226'
'MK006';'1227'
'MK006';'1228'
'MK006';'1230'
'MK006';'1231'
'MK006';'1234'
'MK001';'1235'
'MK006';'1236'
'MK006';'1237'
'MK006';'1238'
'MK006';'1239'
'MK003';'1250'
'MK006';'1254'
'MK006';'1255'
'MK006';'1256'
'MK006';'1257'
'MK003';'1258'
'MK007';'1300'
'MK007';'1302'
'MK007';'1303'
'MK007';'1304'
'MK007';'1305'
'MK007';'1306'
'MK007';'1307'
'MK007';'1308'
'MK007';'1309'
'MK007';'1312'
'MK007';'1314'
'MK007';'1315'
'MK007';'1316'
'MK007';'1322'
'MK007';'1323'
'MK007';'1324'
'MK007';'1325'
'MK007';'1330'
'MK007';'1332'
'MK007';'1333'
'MK007';'1334'
'MK007';'1335'
'MK007';'1360'
'MK007';'1361'
'MK001';'1400'
'MK001';'1406'
'MK001';'1407'
'MK001';'1408'
'MK001';'1413'
'MK001';'1414'
'MK001';'1415'
'MK001';'1420'
'MK001';'1421'
'MK001';'1422'
'MK001';'1423'
'MK001';'1424'
'MK001';'1426'
'MK001';'1427'
'MK001';'1430'
'MK001';'1434'
'MK001';'1437'
'MK001';'1440'
'MK001';'1441'
'MK001';'1442'
'MK001';'1443'
'MK004';'1480'
'MK004';'1483'
'MK004';'1484'
'MK004';'1485'
'MK004';'1487'
'MK004';'1488'
'MK004';'1489'
'MK002';'2000'
'MK002';'2207'
'MK001';'2208'
'MK002';'2210'
'MK002';'2212'
'MK001';'2220'
'MK001';'2225'
'MK001';'2227'
'MK002';'2300'
'MK002';'2301'
'MK002';'2302'
'MK002';'2304'
'MK002';'2305'
'MK002';'2307'
'MK002';'2310'
'MK002';'2312'
'MK002';'2314'
'MK002';'2315'
'MK002';'2316'
'MK002';'2320'
'MK002';'2325'
'MK002';'2326'
'MK002';'2330'
'MK002';'2331'
'MK002';'2332'
'MK002';'2333'
'MK004';'2400'
'MK004';'2410'
'MK004';'2411'
'MK004';'2412'
'MK004';'2413'
'MK004';'2414'
'MK004';'2416'
'MK004';'2420'
'MK004';'2423'
'MK004';'2424'
'MK004';'2430'
'MK004';'2431'
'MK004';'2432'
'MK004';'2433'
'MK004';'2434'
'MK004';'2435'
'MK008';'2436'
'MK004';'2460'
'MK004';'2461'
'MK004';'2464'
'MK003';'6000'
'MK003';'6245'
'MK003';'6250'
'MK003';'6253'
'MK003';'6254'
'MK003';'6255'
'MK001';'6256'
'MK003';'6257'
'MK003';'6258'
'MK003';'6259'
'MK001';'6260'
'MK003';'6261'
'MK003';'6262'
'MK005';'6306'
'MK003';'6322'
'MK003';'6330'
'MK003';'6333'
'MK003';'6334'
'MK003';'6335'
'MK003';'6336'
'MK003';'6337'
'MK003';'6338'
'MK003';'6339'
'MK003';'6341'
'MK003';'6342'
'MK003';'6344'
'MK003';'6346'
'MK003';'6530'
'MK003';'6533'
'MK003';'6535'
'MK003';'6539'
'MK005';'7000'
'MK005';'7202'
'MK005';'7204'
'MK005';'7205'
