NUTS3;CODE
'MT001';'SCM'
'MT001';'QRM'
'MT001';'GZR'
'MT001';'XBX'
'MT001';'ZRQ'
'MT001';'ATD'
'MT001';'MST'
'MT002';'GSR'
'MT001';'MQB'
'MT001';'DGL'
'MT002';'VCT'
'MT001';'VLT'
'MT002';'MXR'
'MT001';'BZN'
'MT002';'XRA'
'MT001';'ISL'
'MT002';'FNT'
'MT001';'MSK'
'MT001';'BRG'
'MT001';'KKP'
'MT001';'ZBG'
'MT001';'TXN'
'MT002';'XWK'
'MT001';'FRN'
'MT001';'GHR'
'MT002';'KCM'
'MT001';'BML'
'MT001';'SLC'
'MT001';'MLH'
'MT001';'SWQ'
'MT001';'RBT'
'MT002';'ZBB'
'MT002';'NDR'
'MT002';'SNT'
'MT002';'XLN'
'MT001';'MTF'
'MT002';'MFN'
'MT001';'SGW'
'MT001';'SVR'
'MT001';'XJR'
'MT001';'GDJ'
'MT001';'FGR'
'MT001';'SLM'
'MT002';'GSM'
'MT001';'IKL'
'MT001';'GXQ'
'MT001';'MRS'
'MT001';'MDN'
'MT001';'SPB'
'MT001';'PBK'
'MT002';'QLA'
'MT002';'KMN'
'MT001';'HMR'
'MT001';'ZBR'
'MT002';'GRB'
'MT001';'MSD'
'MT001';'PTA'
'MT001';'STJ'
'MT001';'BKR'
'MT001';'SFI'
'MT002';'SLZ'
'MT001';'LQA'
'MT001';'PLA'
'MT001';'BBG'
'MT001';'NXR'
'MT001';'KKR'
'MT001';'MXK'
'MT001';'LJA'
'MT001';'MGR'
'MT001';'QRD'
'MT001';'SGN'
'MT001';'ZTN'
'MT001';'CBD'
'MT001';'MTP'
