NUTS3;CODE
'NO0A3';'6642'
'NO0A3';'6610'
'NO060';'7800'
'NO085';'3322'
'NO020';'2618'
'NO0A1';'4022'
'NO0A2';'5016'
'NO0A1';'5541'
'NO073';'9742'
'NO071';'8536'
'NO0A1';'5561'
'NO0A3';'6057'
'NO071';'8315'
'NO072';'9406'
'NO083';'1640'
'NO081';'0560'
'NO084';'2032'
'NO071';'8215'
'NO060';'7167'
'NO060';'7863'
'NO020';'2643'
'NO060';'7520'
'NO060';'7350'
'NO0A1';'4077'
'NO084';'1940'
'NO081';'0489'
'NO0A2';'5420'
'NO081';'1089'
'NO083';'1663'
'NO084';'1383'
'NO081';'0861'
'NO0A2';'5335'
'NO071';'8616'
'NO084';'2164'
'NO072';'9441'
'NO081';'0870'
'NO084';'2166'
'NO083';'1860'
'NO081';'0972'
'NO094';'3891'
'NO0A2';'5722'
'NO084';'3440'
'NO060';'7300'
'NO081';'0584'
'NO093';'3225'
'NO072';'9325'
'NO020';'2864'
'NO0A2';'5236'
'NO0A3';'6017'
'NO073';'9935'
'NO060';'7716'
'NO094';'3805'
'NO081';'0573'
'NO0A2';'5105'
'NO094';'3684'
'NO0A1';'4021'
'NO081';'1170'
'NO092';'4780'
'NO081';'0680'
'NO083';'1764'
'NO0A1';'4076'
'NO060';'7994'
'NO081';'0659'
'NO0A2';'5230'
'NO081';'0445'
'NO093';'3187'
'NO0A2';'5430'
'NO081';'1279'
'NO085';'3040'
'NO0A1';'4275'
'NO093';'3180'
'NO0A1';'4260'
'NO081';'0779'
'NO020';'2940'
'NO020';'2429'
'NO094';'3915'
'NO020';'2816'
'NO094';'3738'
'NO0A2';'5414'
'NO0A1';'4323'
'NO081';'0655'
'NO060';'7036'
'NO081';'0679'
'NO081';'0270'
'NO083';'1538'
'NO060';'7334'
'NO081';'0988'
'NO020';'2652'
'NO060';'6687'
'NO060';'7606'
'NO092';'4623'
'NO094';'3722'
'NO071';'8413'
'NO084';'1350'
'NO060';'7607'
'NO081';'0984'
'NO081';'0468'
'NO084';'2070'
'NO020';'2848'
'NO081';'1286'
'NO093';'3123'
'NO093';'3120'
'NO094';'3760'
'NO0A3';'6224'
'NO0A2';'5683'
'NO0A2';'5212'
'NO081';'0964'
'NO020';'2316'
'NO083';'1633'
'NO060';'7234'
'NO071';'8725'
'NO084';'2003'
'NO0A2';'5550'
'NO081';'0263'
'NO0A2';'5309'
'NO020';'2321'
'NO081';'0873'
'NO081';'0570'
'NO094';'3732'
'NO081';'0191'
'NO020';'2385'
'NO092';'4484'
'NO081';'0469'
'NO085';'3530'
'NO0A1';'4016'
'NO084';'1440'
'NO092';'4920'
'NO093';'3274'
'NO060';'7715'
'NO081';'0487'
'NO0A2';'6810'
'NO072';'9444'
'NO071';'8415'
'NO060';'7603'
'NO072';'9108'
'NO060';'7507'
'NO073';'9910'
'NO094';'3730'
'NO093';'3243'
'NO084';'1930'
'NO071';'8313'
'NO092';'4640'
'NO020';'2634'
