NUTS3;CODE
'PL514';'50-561'
'PL514';'51-215'
'PL514';'51-513'
'PL638';'83-200'
'PL432';'65-519'
'PL432';'65-253'
'PL214';'32-273'
'PL417';'63-820'
'PL213';'31-479'
'PL213';'30-397'
'PL213';'30-608'
'PL213';'30-651'
'PL213';'30-654'
'PL213';'31-751'
'PL524';'45-542'
'PL428';'73-131'
'PL911';'04-239'
'PL225';'46-460'
'PL21A';'34-122'
'PL213';'31-203'
'PL213';'30-534'
'PL213';'30-072'
'PL213';'31-356'
'PL213';'30-139'
'PL213';'30-392'
'PL515';'58-560'
'PL517';'57-314'
'PL514';'52-232'
'PL514';'53-646'
'PL514';'54-009'
'PL514';'50-027'
'PL514';'50-249'
'PL514';'50-441'
'PL514';'51-376'
'PL424';'71-279'
'PL424';'71-875'
'PL518';'55-116'
'PL514';'52-222'
'PL22A';'40-061'
'PL22A';'40-231'
'PL22A';'40-881'
'PL432';'65-664'
'PL633';'81-133'
'PL633';'81-189'
'PL633';'81-197'
'PL633';'81-426'
'PL633';'81-777'
'PL913';'05-840'
'PL721';'25-563'
'PL721';'25-701'
'PL721';'25-723'
'PL721';'25-106'
'PL911';'00-003'
'PL911';'00-678'
'PL911';'00-130'
'PL711';'93-509'
'PL711';'91-046'
'PL711';'91-423'
'PL711';'91-530'
'PL633';'80-430'
'PL633';'80-508'
'PL633';'80-518'
'PL514';'52-235'
'PL514';'53-123'
'PL514';'53-235'
'PL514';'53-310'
'PL514';'53-340'
'PL424';'71-116'
'PL424';'71-414'
'PL424';'71-421'
'PL424';'71-554'
'PL424';'71-558'
'PL424';'71-270'
'PL424';'70-051'
'PL424';'70-316'
'PL515';'58-508'
'PL213';'30-901'
'PL213';'31-012'
'PL213';'31-952'
'PL814';'20-140'
'PL814';'20-341'
'PL814';'20-417'
'PL814';'20-626'
'PL814';'20-350'
'PL814';'20-464'
'PL426';'75-713'
'PL426';'75-817'
'PL616';'87-326'
'PL514';'50-150'
'PL514';'50-369'
'PL524';'47-225'
'PL432';'66-218'
'PL911';'01-756'
'PL911';'02-343'
'PL911';'01-930'
'PL711';'91-070'
'PL711';'91-465'
'PL711';'92-014'
'PL714';'98-354'
'PL633';'80-577'
'PL633';'80-808'
'PL415';'60-723'
'PL415';'61-115'
'PL415';'61-433'
'PL415';'61-779'
'PL424';'70-394'
'PL424';'70-526'
'PL424';'70-741'
'PL424';'70-744'
'PL424';'70-769'
'PL424';'70-807'
'PL213';'30-652'
'PL213';'30-694'
'PL213';'30-726'
'PL213';'31-640'
'PL227';'44-274'
'PL414';'62-613'
'PL214';'32-086'
'PL622';'10-031'
'PL636';'77-124'
'PL714';'98-320'
'PL711';'92-327'
'PL711';'92-516'
'PL711';'93-126'
'PL711';'94-121'
'PL711';'90-202'
'PL711';'90-211'
'PL432';'65-325'
'PL432';'65-380'
'PL432';'65-533'
'PL432';'65-055'
'PL432';'65-125'
'PL21A';'34-120'
'PL214';'32-100'
'PL633';'80-416'
'PL633';'81-307'
'PL427';'78-332'
'PL524';'45-238'
'PL524';'45-321'
'PL518';'55-110'
'PL711';'90-532'
'PL711';'93-531'
'PL711';'91-162'
'PL711';'91-365'
'PL711';'91-511'
'PL711';'92-009'
'PL711';'92-210'
'PL711';'92-238'
'PL633';'80-006'
'PL633';'80-705'
'PL911';'04-190'
'PL823';'39-102'
'PL432';'68-210'
'PL22B';'42-445'
'PL22A';'40-109'
'PL22A';'40-215'
'PL22A';'40-651'
'PL22A';'40-758'
'PL924';'06-213'
'PL921';'27-300'
'PL925';'08-320'
'PL424';'72-852'
'PL424';'70-106'
'PL515';'58-512'
'PL618';'89-504'
'PL217';'35-205'
'PL22A';'40-434'
'PL22A';'40-560'
'PL22A';'40-638'
'PL432';'65-366'
'PL923';'09-550'
'PL924';'06-200'
'PL921';'26-613'
'PL426';'75-430'
'PL426';'75-508'
'PL426';'75-637'
'PL415';'60-768'
'PL415';'61-241'
'PL415';'61-374'
'PL415';'61-428'
'PL415';'60-264'
'PL415';'61-544'
'PL415';'61-653'
'PL415';'61-677'
'PL415';'61-837'
'PL424';'70-454'
'PL424';'70-777'
'PL424';'71-494'
'PL424';'71-669'
'PL424';'71-314'
'PL633';'81-504'
'PL633';'81-590'
'PL633';'81-003'
'PL633';'81-721'
'PL721';'25-553'
'PL721';'25-811'
'PL721';'25-029'
'PL721';'25-123'
'PL721';'25-149'
'PL524';'45-656'
'PL619';'87-732'
'PL617';'88-170'
'PL523';'48-330'
'PL613';'85-407'
'PL613';'85-420'
'PL213';'31-481'
'PL213';'30-206'
'PL213';'30-223'
'PL213';'30-399'
'PL711';'92-710'
'PL711';'92-777'
'PL711';'94-119'
'PL711';'94-128'
'PL711';'90-050'
'PL711';'90-315'
'PL711';'90-317'
'PL711';'90-613'
'PL711';'91-068'
'PL711';'91-606'
'PL713';'97-212'
'PL713';'97-213'
'PL637';'83-421'
'PL633';'80-457'
'PL633';'80-543'
'PL633';'80-078'
'PL633';'80-730'
'PL633';'80-757'
'PL213';'31-482'
'PL213';'30-240'
'PL213';'30-349'
'PL213';'30-388'
'PL213';'30-446'
'PL213';'30-704'
'PL213';'30-805'
'PL213';'30-998'
'PL213';'31-914'
'PL213';'31-944'
'PL218';'38-302'
'PL524';'45-465'
'PL711';'90-747'
'PL432';'65-190'
'PL911';'01-480'
'PL721';'25-507'
'PL911';'03-284'
'PL911';'04-736'
'PL638';'83-123'
'PL721';'25-708'
'PL514';'53-629'
'PL22A';'40-165'
'PL633';'81-869'
'PL711';'91-729'
'PL633';'80-556'
'PL633';'80-626'
'PL424';'70-546'
'PL213';'31-951'
'PL622';'10-030'
'PL622';'10-210'
'PL516';'59-338'
'PL622';'10-588'
'PL841';'15-869'
'PL228';'41-910'
'PL911';'00-157'
'PL711';'92-430'
'PL711';'94-120'
'PL633';'80-805'
'PL711';'93-641'
'PL911';'03-955'
'PL622';'10-087'
'PL622';'11-205'
'PL911';'04-820'
'PL911';'04-829'
'PL911';'04-845'
'PL22A';'40-383'
'PL22A';'40-404'
'PL213';'30-533'
'PL613';'87-108'
'PL22A';'40-486'
'PL618';'86-141'
'PL432';'65-010'
'PL711';'91-605'
'PL415';'60-356'
'PL911';'01-329'
'PL415';'60-856'
'PL517';'57-250'
'PL923';'09-226'
'PL911';'03-761'
'PL911';'03-992'
'PL633';'80-130'
'PL711';'90-757'
'PL424';'70-505'
'PL514';'53-228'
'PL424';'71-024'
'PL414';'62-330'
'PL621';'14-230'
'PL424';'70-525'
'PL22A';'40-678'
'PL432';'65-082'
'PL22A';'40-423'
'PL613';'85-345'
'PL622';'11-008'
'PL911';'04-783'
'PL633';'81-737'
'PL721';'25-441'
'PL721';'25-711'
'PL721';'25-041'
'PL633';'81-164'
'PL843';'16-404'
'PL432';'65-089'
'PL213';'30-113'
'PL814';'20-151'
'PL911';'00-076'
'PL636';'76-243'
'PL432';'65-160'
'PL213';'30-012'
'PL213';'30-824'
'PL613';'85-567'
'PL414';'62-704'
'PL517';'57-257'
'PL426';'75-330'
'PL711';'92-616'
'PL22C';'43-190'
'PL432';'65-414'
'PL514';'53-118'
'PL426';'75-389'
'PL213';'31-988'
'PL213';'31-999'
'PL415';'60-716'
'PL711';'90-119'
'PL711';'90-130'
'PL711';'90-133'
'PL841';'15-836'
'PL911';'03-642'
'PL911';'00-762'
'PL911';'00-784'
'PL213';'30-350'
'PL841';'15-258'
'PL911';'03-685'
'PL911';'01-233'
'PL911';'01-252'
'PL911';'01-262'
'PL622';'10-125'
'PL622';'10-754'
'PL814';'20-467'
'PL633';'81-338'
'PL721';'25-622'
'PL841';'16-120'
'PL911';'01-241'
'PL911';'01-249'
'PL911';'03-350'
'PL911';'03-964'
'PL415';'61-862'
'PL633';'80-275'
'PL428';'74-111'
'PL416';'63-604'
'PL911';'04-921'
'PL715';'96-104'
'PL841';'15-893'
'PL911';'03-727'
'PL514';'52-114'
'PL514';'53-338'
'PL514';'51-670'
'PL22A';'40-158'
'PL432';'65-341'
'PL213';'32-058'
'PL633';'80-448'
'PL633';'81-116'
'PL911';'02-903'
'PL414';'62-436'
'PL22A';'40-536'
'PL721';'25-140'
'PL22A';'40-564'
'PL823';'35-329'
'PL823';'35-624'
'PL432';'65-004'
'PL432';'65-018'
'PL416';'63-308'
'PL633';'81-518'
'PL633';'81-256'
'PL213';'31-543'
'PL432';'66-630'
'PL523';'46-146'
'PL516';'59-210'
'PL911';'04-312'
'PL517';'57-401'
'PL517';'58-206'
'PL424';'70-396'
'PL415';'61-746'
'PL415';'61-825'
'PL711';'91-340'
'PL618';'89-526'
'PL514';'53-653'
'PL418';'62-064'
'PL22B';'41-250'
'PL22B';'41-253'
'PL213';'30-040'
'PL711';'92-549'
'PL633';'81-367'
'PL814';'20-990'
'PL913';'05-080'
'PL714';'98-215'
'PL823';'35-032'
'PL711';'92-416'
'PL841';'15-114'
'PL922';'09-135'
'PL711';'93-173'
'PL911';'04-441'
'PL911';'04-793'
'PL711';'91-867'
'PL633';'81-156'
'PL424';'70-506'
'PL722';'28-236'
'PL841';'15-260'
'PL424';'70-430'
'PL911';'00-211'
'PL514';'51-669'
'PL711';'91-823'
'PL432';'65-609'
'PL911';'04-652'
'PL821';'48-212'
'PL424';'70-136'
'PL524';'45-528'
'PL523';'46-166'
'PL214';'32-438'
'PL411';'64-970'
'PL213';'31-802'
'PL229';'44-101'
'PL613';'85-090'
'PL619';'88-231'
'PL638';'82-522'
'PL711';'93-144'
'PL424';'70-855'
'PL424';'71-555'
'PL514';'53-135'
'PL424';'70-262'
'PL619';'87-703'
'PL217';'33-140'
'PL424';'71-540'
'PL814';'20-625'
'PL911';'00-792'
'PL911';'02-616'
'PL911';'04-651'
'PL814';'20-434'
'PL417';'63-810'
'PL213';'30-094'
'PL524';'45-715'
'PL427';'78-640'
'PL622';'10-862'
'PL721';'25-656'
'PL911';'02-222'
'PL821';'38-516'
'PL911';'02-351'
'PL925';'08-221'
'PL921';'26-660'
'PL633';'81-423'
'PL711';'93-478'
'PL636';'84-353'
'PL911';'00-645'
'PL633';'81-609'
'PL613';'85-555'
'PL415';'61-488'
'PL424';'71-050'
'PL613';'85-041'
'PL426';'75-245'
'PL426';'75-569'
'PL415';'61-154'
'PL415';'61-507'
'PL524';'45-056'
'PL711';'91-304'
'PL633';'80-766'
'PL911';'00-154'
'PL415';'60-225'
'PL424';'70-761'
'PL219';'34-483'
'PL219';'34-441'
'PL224';'42-160'
'PL219';'34-211'
'PL219';'34-205'
'PL518';'55-505'
'PL823';'35-020'
'PL823';'35-103'
'PL823';'35-116'
'PL821';'38-430'
'PL514';'51-351'
'PL514';'51-413'
'PL821';'38-485'
'PL715';'99-319'
'PL711';'91-116'
'PL841';'15-193'
'PL622';'10-846'
'PL622';'10-853'
'PL622';'10-174'
'PL622';'10-282'
'PL841';'15-441'
'PL721';'25-383'
'PL841';'15-683'
'PL911';'02-594'
'PL911';'02-290'
'PL911';'03-824'
'PL721';'25-524'
'PL721';'25-608'
'PL722';'28-313'
'PL721';'26-070'
'PL22A';'40-574'
'PL841';'15-750'
'PL911';'01-228'
'PL622';'10-587'
'PL711';'92-711'
'PL912';'05-127'
'PL514';'50-383'
'PL21A';'32-503'
'PL219';'34-406'
'PL229';'44-156'
'PL711';'91-166'
'PL633';'80-821'
'PL923';'09-421'
'PL514';'50-227'
'PL514';'50-302'
'PL228';'42-603'
'PL921';'26-611'
'PL415';'61-577'
'PL415';'61-652'
'PL911';'04-180'
'PL911';'01-572'
'PL841';'15-715'
'PL229';'44-105'
'PL711';'94-311'
'PL711';'90-157'
'PL911';'00-173'
'PL424';'71-177'
'PL515';'59-524'
'PL633';'81-210'
'PL911';'04-664'
'PL812';'23-400'
'PL426';'78-103'
'PL514';'50-102'
'PL518';'55-108'
'PL622';'10-343'
'PL514';'50-152'
'PL711';'90-552'
'PL824';'39-216'
'PL517';'57-230'
'PL613';'85-081'
'PL613';'85-795'
'PL524';'45-301'
'PL711';'90-710'
'PL415';'61-149'
'PL814';'20-118'
'PL415';'60-386'
'PL622';'10-116'
'PL711';'94-203'
'PL518';'55-106'
'PL213';'30-418'
'PL432';'65-945'
'PL523';'49-330'
'PL721';'25-727'
'PL911';'02-635'
'PL711';'90-208'
'PL711';'90-232'
'PL711';'94-304'
'PL711';'94-315'
'PL524';'45-950'
'PL432';'65-064'
'PL524';'45-472'
