NUTS3;CODE
'SK041';'053 03'
'SK041';'053 04'
'SK041';'053 05'
'SK041';'053 06'
'SK041';'053 14'
'SK041';'053 71'
'SK041';'053 73'
'SK041';'054 01'
'SK041';'067 02'
'SK041';'067 04'
'SK041';'067 16'
'SK041';'067 52'
'SK041';'068 01'
'SK041';'058 01'
'SK041';'059 11'
'SK041';'059 12'
'SK041';'059 13'
'SK041';'059 14'
'SK041';'059 16'
'SK041';'059 17'
'SK041';'059 18'
'SK041';'059 19'
'SK041';'059 21'
'SK041';'059 31'
'SK041';'059 34'
'SK041';'059 35'
'SK041';'059 36'
'SK041';'059 37'
'SK041';'059 38'
'SK041';'059 39'
'SK041';'059 40'
'SK041';'059 41'
'SK041';'059 42'
'SK041';'059 51'
'SK041';'059 54'
'SK041';'059 55'
'SK041';'059 56'
'SK041';'059 60'
'SK041';'059 81'
'SK041';'059 83'
'SK041';'059 84'
'SK041';'059 85'
'SK041';'059 86'
'SK041';'059 91'
'SK041';'062 01'
'SK041';'080 01'
'SK041';'080 05'
'SK041';'080 06'
'SK041';'082 01'
'SK042';'082 03'
'SK041';'082 04'
'SK041';'082 05'
'SK041';'082 06'
'SK041';'082 07'
'SK041';'082 12'
'SK041';'082 13'
'SK041';'082 14'
'SK041';'082 15'
'SK041';'082 16'
'SK041';'082 21'
'SK041';'082 32'
'SK041';'082 33'
'SK041';'082 35'
'SK041';'082 36'
'SK041';'082 37'
'SK041';'082 38'
'SK041';'082 41'
'SK041';'082 42'
'SK041';'082 43'
'SK041';'082 44'
'SK041';'082 52'
'SK041';'082 53'
'SK041';'082 66'
'SK041';'082 67'
'SK041';'082 22'
'SK041';'082 56'
'SK041';'082 57'
'SK041';'082 61'
'SK041';'082 63'
'SK041';'082 71'
'SK041';'082 73'
'SK041';'082 74'
'SK041';'082 75'
'SK041';'082 76'
'SK041';'083 01'
'SK041';'067 35'
'SK041';'067 61'
'SK041';'067 65'
'SK041';'067 66'
'SK041';'067 67'
'SK041';'067 68'
'SK041';'067 71'
'SK041';'067 72'
'SK041';'067 73'
'SK041';'067 77'
'SK041';'067 81'
'SK041';'069 01'
'SK041';'064 01'
'SK041';'065 01'
'SK041';'065 02'
'SK041';'065 03'
'SK041';'065 11'
'SK041';'065 12'
'SK041';'065 22'
'SK041';'065 31'
'SK041';'065 32'
'SK041';'065 33'
'SK041';'065 34'
'SK041';'065 41'
'SK041';'065 42'
'SK041';'065 43'
'SK041';'065 44'
'SK041';'065 45'
'SK041';'065 46'
'SK041';'065 48'
'SK041';'090 21'
'SK041';'090 22'
'SK041';'090 23'
'SK041';'090 24'
'SK041';'090 31'
'SK041';'090 32'
'SK041';'090 33'
'SK041';'090 34'
'SK041';'091 01'
'SK041';'086 44'
'SK041';'089 01'
'SK041';'090 01'
'SK041';'090 02'
'SK041';'090 03'
'SK041';'090 05'
'SK041';'090 11'
'SK041';'090 16'
'SK041';'090 41'
'SK041';'090 42'
'SK041';'093 01'
'SK041';'093 02'
'SK041';'093 03'
'SK041';'094 01'
'SK041';'094 02'
'SK041';'094 03'
'SK041';'094 04'
'SK041';'094 05'
'SK041';'094 09'
'SK041';'094 12'
'SK041';'094 13'
'SK041';'094 14'
'SK041';'094 15'
'SK041';'094 21'
'SK041';'094 22'
'SK041';'094 23'
'SK041';'094 31'
'SK041';'094 33'
'SK041';'094 34'
'SK041';'094 35'
'SK021';'929 01'
'SK021';'930 01'
'SK021';'930 02'
'SK021';'930 03'
'SK021';'930 04'
'SK021';'930 05'
'SK021';'930 06'
'SK021';'930 07'
'SK021';'930 08'
'SK021';'930 10'
'SK021';'930 11'
'SK021';'930 12'
'SK021';'930 13'
'SK021';'930 14'
'SK021';'930 16'
'SK021';'930 21'
'SK021';'930 25'
'SK021';'930 30'
'SK021';'930 31'
'SK021';'930 32'
'SK021';'930 33'
'SK021';'930 34'
'SK021';'930 35'
'SK021';'930 36'
'SK021';'930 37'
'SK021';'930 38'
'SK021';'930 39'
'SK021';'930 40'
'SK021';'930 41'
'SK021';'930 51'
'SK021';'930 52'
'SK021';'931 01'
'SK021';'932 01'
'SK021';'924 01'
'SK021';'925 01'
'SK021';'925 02'
'SK021';'925 03'
'SK021';'925 04'
'SK021';'925 05'
'SK021';'925 06'
'SK021';'925 07'
'SK021';'925 08'
'SK021';'925 09'
'SK021';'925 21'
'SK021';'925 22'
'SK021';'925 27'
'SK021';'925 28'
'SK021';'925 32'
'SK021';'925 41'
'SK021';'925 42'
'SK021';'925 45'
'SK021';'925 51'
'SK021';'925 52'
'SK021';'925 53'
'SK021';'925 54'
'SK021';'925 55'
'SK021';'925 62'
'SK021';'925 63'
'SK021';'925 92'
'SK021';'926 01'
'SK021';'919 33'
'SK021';'920 01'
'SK021';'920 03'
'SK021';'920 41'
'SK021';'920 42'
'SK021';'920 52'
'SK021';'920 55'
'SK021';'920 56'
'SK021';'920 61'
'SK021';'920 62'
'SK021';'920 63'
'SK021';'920 64'
'SK021';'920 65'
'SK021';'920 66'
'SK021';'922 31'
'SK021';'922 42'
'SK021';'921 01'
'SK021';'922 01'
'SK021';'922 02'
'SK021';'922 03'
'SK021';'922 04'
'SK021';'922 05'
'SK021';'922 06'
'SK021';'922 07'
'SK021';'922 08'
'SK021';'922 09'
'SK021';'922 10'
'SK021';'922 11'
'SK021';'922 21'
'SK021';'922 41'
'SK021';'905 01'
'SK021';'906 02'
'SK021';'906 03'
'SK021';'906 04'
'SK021';'906 05'
'SK021';'906 07'
'SK021';'906 11'
'SK021';'906 12'
'SK021';'906 31'
'SK021';'906 32'
'SK021';'906 33'
'SK021';'906 34'
'SK021';'906 45'
'SK021';'908 01'
'SK021';'908 41'
'SK021';'908 42'
'SK021';'908 43'
'SK021';'908 71'
'SK021';'908 76'
'SK021';'908 77'
'SK021';'908 78'
'SK021';'908 79'
'SK021';'908 80'
'SK021';'908 44'
'SK021';'908 45'
'SK021';'908 46'
'SK021';'908 47'
'SK021';'908 48'
'SK021';'908 49'
'SK021';'908 51'
'SK021';'908 61'
'SK021';'908 62'
'SK021';'908 63'
'SK021';'908 64'
'SK021';'908 65'
'SK021';'908 85'
'SK021';'909 01'
'SK021';'917 05'
'SK021';'919 01'
'SK021';'919 02'
'SK021';'919 03'
'SK021';'919 04'
'SK021';'919 05'
'SK021';'919 07'
'SK021';'919 08'
'SK021';'919 09'
'SK021';'919 10'
'SK021';'919 21'
'SK021';'919 22'
'SK021';'919 23'
'SK021';'919 24'
'SK021';'919 25'
'SK021';'919 26'
'SK021';'919 27'
'SK021';'919 28'
'SK021';'919 29'
'SK021';'919 30'
'SK021';'919 31'
'SK021';'919 32'
'SK021';'919 34'
'SK021';'919 35'
'SK021';'919 42'
'SK021';'919 43'
'SK021';'919 51'
'SK021';'919 52'
'SK021';'919 53'
'SK021';'919 54'
'SK021';'919 55'
'SK021';'919 61'
'SK021';'919 65'
'SK021';'917 01'
'SK021';'917 02'
'SK021';'917 08'
'SK023';'956 35'
'SK023';'956 36'
'SK023';'956 37'
'SK023';'956 41'
'SK023';'956 52'
'SK023';'956 53'
'SK023';'956 54'
'SK023';'956 55'
'SK023';'957 01'
'SK023';'957 03'
'SK022';'018 31'
'SK022';'018 32'
'SK022';'018 35'
'SK022';'018 41'
'SK022';'018 51'
'SK022';'018 52'
'SK022';'018 53'
